En-tete original,En-tete standard
Phase exercice,phase
Phase_exercice,phase
Statut,statut
Type d'inject,type
Horodatage,horodatage
Emetteur,emetteur
Destinataire,recepteur
Modalite,nature
Resume,resume
Descriptif,contenu
Actions,actions_attendues
Commentaires,commentaires
L,phase
Nature de l'inject,type
Condition,horodatage
Statut inject,statut
Modalité,nature
Réactions attendues ,actions_attendues
Tango,phase
N°,numero
Timing,horodatage
Type,type
Nature,nature
Emmeteur,emetteur
Récepteur ,recepteur
Description,resume
Corps,contenu
Actions attendues ,actions_attendues
Etat,statut
Type de stimuli,type
Horaire Simulée,horodatage
Animateur,
Emetteur simulé,emetteur
Destinataire spécifique,recepteur
Modalités de transmission,nature
Objet,resume
Contenu,contenu
Observations,commentaires
Remarques atelier chronogramme ,commentaires
N °,numero
FREQUENCE,horodatage
PHASE,phase
Contenu STIMULI\n(contenu du mail ou de l’appel téléphonique),contenu
ÉMETTEUR,emetteur
CELLULE DESTINATAIRE,recepteur
DESTINATAIRE AU SEIN DE LA CELLULE,recepteur
MODALITÉ DE TRANSMISSION,nature
INPUT STIMULIS,resume
RÉACTIONS ATTENDUES,actions_attendues
Commentaires à l’attention de l'animateur,commentaires
Heure,horodatage
Vecteur,nature
Stmulis,actions_attendues
Réaction attendues,actions_attendues
Personnage,emetteur
